1161280,396,-0.27,-1.4,0.05,0.136412477,42.6833333,-72.4719444,,,,,,
1184000,532,0.59,-0.46,0.41,0.102398017,43.48753962,-72.26430774,,,,,,
1193050,3702,0.26,-0.26,0.08,0.11942318,41.5417656,-72.5531454,,,,,,
1194796,869,0.53,0.19,0.54,0.108092174,41.3125983,-72.3459166,,,,,,
1389005,4639,0.84,0.72,0.72,0.696116228,40.89638889,-74.2691667,,,,,,
1463500,798,0.25,0.01,0.11,0.182688803,41.36112641,-75.12300964,,,,,,
1467200,475,0.35,-0.03,0.15,0.228709775,39.95400165,-75.1373987,,,,,,
1573660,869,0.26,-0.05,0.11,0.898972511,40.1533333,-76.7555556,,,,,,
1574000,902,0.75,0.69,0.69,0.979959405,39.96250615,-77.02632287,,,,,,
1575598,687,0.32,0,0.14,1.175524415,40.0522222,-76.6544444,,,,,,
1575900,581,0.15,-0.67,0.02,2.355209711,40.0628745,-76.5155214,,,,,,
1576003,131,0.44,0.5,0.6,0.447625378,40.0284308,-76.5177432,,,,,,
1576007,855,-0.13,-0.42,0,4.712752668,40.01416667,-76.5480556,,,,,,
1576045,815,0.76,0.61,0.62,1.058254156,39.94194444,-76.50027778,,,,,,
1577500,777,0.1,-0.45,0.02,1.173615781,39.77260378,-76.3157919,,,,,,
1579550,2670,0.53,0.28,0.34,0.248288988,39.62605556,-76.15775,,,,,,
1632900,3603,0.53,0.25,0.33,0.486216103,38.54202797,-78.72897593,,,,,,
1645762,2170,0.2,-1.44,0.08,1.219216201,38.89492169,-77.35676117,,,,,,
1646000,3275,0.71,0.39,0.51,0.368228184,38.93049508,-77.30728856,,,,,,
1646500,3681,0.79,0.65,0.66,0.229621687,39.16143161,-78.38922891,,,,,,
1654000,2405,0.74,0.6,0.61,0.190313348,38.85770538,-77.25965871,,,,,,
1673000,2274,0.31,-0.1,0.11,0.090125321,37.97996127,-77.83896313,,,,,,
2035000,2884,0.65,0.33,0.43,0.112698278,37.79880715,-79.21132482,,,,,,
3216070,2364,0.31,0.01,0.14,0.152505753,38.53205556,-82.6859444,,,,,,
3254520,2569,0.61,0.46,0.5,0.253418315,38.9203417,-84.44799549,,,,,,
3275500,1650,0.83,0.72,0.73,0.416548686,39.91762482,-84.81267352,,,,,,
3276000,379,0.54,0.55,0.57,0.387691068,39.74008158,-84.90155266,,,,,,
3290500,1294,0.49,0.23,0.29,0.292400621,37.61100521,-83.92811536,,,,,,
3321500,2938,0.56,0.31,0.36,0.27251181,37.8583774,-87.4097294,,,,,,
3336890,2609,0.9,0.8,0.81,1.518988717,40.16419444,-88.0275,,,,,,
3338780,799,0.59,0.46,0.53,2.684433271,40.40799091,-87.5735109,,,,,,
3339000,2254,0.88,0.77,0.77,1.205831362,40.28214731,-87.90527011,,,,,,
3346500,2415,0.63,0.46,0.48,1.426196761,39.34812232,-88.04658525,,,,,,
3353415,1681,0.88,0.83,0.83,0.726805458,39.88577778,-86.3554444,,,,,,
3353420,2634,0.8,0.71,0.72,0.982065623,39.8725833,-86.3615278,,,,,,
3374100,2998,0.82,0.71,0.72,0.405132942,38.4897695,-87.55002269,,,,,,
3378500,800,0.82,0.67,0.68,0.628831984,38.130879,-87.941419,,,,,,
3612600,2056,0.64,0.47,0.49,0.35141567,37.17921867,-89.058404,,,,,,
4165500,349,0.3,0.07,0.27,1.40245849,42.71600818,-83.11369195,,,,,,
4166500,417,0.23,-0.3,0.07,0.294548343,42.49557359,-83.31420852,,,,,,
4168400,379,0.71,0.62,0.7,3.625566441,42.30837099,-83.2527063,,,,,,
4183500,1212,0.21,-0.13,0.08,1.551702222,41.17700445,-84.82347085,,,,,,
5412500,2512,0.63,0.41,0.45,1.98597069,43.02090688,-91.83091396,,,,,,
5420400,392,0.75,0.52,0.57,0.332365771,41.8944725,-90.156793,,,,,,
5446500,1933,0.59,0.36,0.4,0.983344431,42.60012108,-89.22440793,,,,,,
5447500,1914,0.74,0.59,0.61,1.287077566,41.5431016,-89.6608382,,,,,,
5464420,2477,0.76,0.67,0.67,1.766613186,42.06916389,-91.7851806,,,,,,
5464475,1102,0.82,0.73,0.74,1.274154059,41.98941597,-91.7595985,,,,,,
5465500,3597,0.83,0.72,0.73,1.422780683,42.45278484,-92.55193913,,,,,,
5482000,3125,0.64,0.53,0.55,2.858539626,41.93127941,-94.03950141,,,,,,
5482300,4635,0.53,0.43,0.45,3.358373639,42.81675197,-94.83436491,,,,,,
5482500,3970,0.75,0.68,0.69,3.176114674,42.46960214,-94.82660431,,,,,,
5484000,2332,0.85,0.83,0.83,1.287457786,41.82941472,-94.59902626,,,,,,
5484500,3514,0.88,0.83,0.83,1.814998585,42.16304765,-94.6215672,,,,,,
5515500,3130,0.77,0.58,0.61,0.254417252,41.56604131,-86.54849235,,,,,,
5517500,2206,0.73,0.6,0.6,0.56714244,41.43705588,-86.49096959,,,,,,
5518000,2490,0.78,0.63,0.64,0.470006949,41.40859102,-86.63073643,,,,,,
5524500,2771,0.85,0.75,0.76,1.319226836,40.95010348,-87.13438345,,,,,,
5537980,1867,0.83,0.75,0.76,0.700048305,42.06399176,-87.91289129,,,,,,
5543010,2798,0.61,0.33,0.39,0.813363369,41.29988889,-88.6141944,,,,,,
5553700,429,0.81,0.7,0.72,0.451814614,41.3247564,-88.9839693,,,,,,
5567500,216,0.7,0.82,0.87,1.490509581,40.65691926,-88.91565385,,,,,,
5586300,3635,0.68,0.45,0.49,1.018477713,39.63275,-90.6076667,,,,,,
5595000,2574,0.52,0.27,0.32,0.627245161,39.04234471,-89.1559891,,,,,,
5599490,2239,0.33,0.08,0.17,0.341861026,37.7583333,-89.3277778,,,,,,
6476000,403,0.18,-0.9,0.04,0.248583365,45.86542152,-98.64446326,,,,,,
6478513,543,0.28,0.13,0.17,0.368777856,42.9958297,-97.3697806,,,,,,
6481000,1050,0.77,0.56,0.59,0.696891568,44.5819373,-97.01891394,,,,,,
6808500,1707,0.84,0.82,0.83,1.00525375,41.46484261,-95.34097906,,,,,,
6817000,2355,0.81,0.74,0.74,1.279222206,41.17423914,-94.80989703,,,,,,
6819550,237,0.68,0.64,0.64,1.346264494,40.4311111,-94.7722222,,,,,,
6889110,424,0.59,0.51,0.52,1.393487291,39.6095472,-95.9760556,,,,,,
6892350,2832,0.53,0.29,0.34,0.522186783,38.9833375,-94.9646893,,,,,,
6899900,553,0.16,-0.07,0.07,1.974537945,40.45444444,-93.2863889,,,,,,
6900050,537,0.47,0.32,0.33,1.092492559,40.41283399,-93.35750688,,,,,,
6901500,540,0.59,0.4,0.42,0.693247468,40.29056536,-93.1672384,,,,,,
6902000,333,0.28,0.04,0.14,1.425369155,40.28703442,-93.85849305,,,,,,
7144100,3636,0.59,0.48,0.49,0.652550279,38.22063545,-97.66542413,,,,,,
7144780,849,0.9,0.81,0.82,0.226863112,37.90597314,-98.76539087,,,,,,
7288500,183,0.34,0.24,0.25,0.496247678,33.99982689,-90.64261745,,,,,,
8181800,1272,0.63,0.44,0.48,3.341433997,29.5664732,-98.81900697,,,,,,
8188500,784,0.42,0.26,0.28,3.344273187,29.35683743,-98.39263671,,,,,,
8195000,115,0.68,0.64,0.69,0.200256276,29.77219698,-99.72858031,,,,,,
11447650,3091,0.52,0.01,0.32,0.099019284,38.45566389,-121.5016167,,,,,,
11447890,908,0.36,0.08,0.22,0.149075053,38.25769218,-121.5182865,,,,,,
11455350,1418,0.48,0.14,0.28,0.135615089,38.21277778,-121.6691667,,,,,,
11455385,881,0.48,0.35,0.47,0.14595663,38.19395556,-121.6580028,,,,,,
12212050,923,0.9,0.87,0.87,0.239342257,48.9387257,-122.4790532,,,,,,
12213100,592,0.54,0.41,0.42,0.153129781,48.82198279,-122.0596494,,,,,,
12500450,246,0.68,0.47,0.54,0.067619977,46.96155818,-120.8395545,,,,,,
12507573,226,0.36,0.25,0.61,0.219312596,46.2852222,-120.0919944,,,,,,
110588332,465,0.49,0.28,0.32,0.188494078,41.66710556,-70.42362778,,,,,,
164579522,571,-3,-42.97,0,2.09279338,38.9256,-77.32933889,,,,,,
167300055,684,0.11,-0.35,0.02,0.263986418,37.75669444,-77.463,,,,,,
3.7535E+14,2279,0.84,0.75,0.77,0.391431119,37.89713889,-97.4411111,,,,,,
